City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Biak,ID,80.71,few clouds,-0.91,122.88,Kost Ariz
311,Wanning,CN,84.63,overcast clouds,18.8,110.4,Paradise Hotel
312,Wuning,CN,76.57,overcast clouds,29.26,120.23,Fu Du Hotel
316,Dingle,PH,84.16,overcast clouds,11.0,122.67,Camp Pasica
319,Cam Ranh,VN,89.6,broken clouds,11.92,109.16,OYO 598 Peony Hotel
323,Port Hedland,AU,86.0,clear sky,-20.32,118.57,The Esplanade Hotel
325,Santa Cruz,BO,77.0,clear sky,-17.8,-63.17,Hotel Cortez
327,Hattiesburg,US,77.0,few clouds,31.33,-89.29,Quality Inn & Suites
331,Arlit,NE,79.12,moderate rain,18.74,7.39,Hôtel Telwa Bungalow
333,Tuburan,PH,82.4,broken clouds,6.64,122.27,Bohe Puno
334,Japura,ID,79.97,broken clouds,-0.32,102.35,Rumah mbah Jamah
339,Kushiro,JP,80.6,broken clouds,42.98,144.37,東横INN釧路十字街
346,Isangel,VU,82.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
350,Nador,MA,82.4,clear sky,35.17,-2.93,Hôtel La Giralda
351,Waingapu,ID,83.64,light rain,-9.66,120.26,Pondok Wisata Elim
355,Meulaboh,ID,77.32,overcast clouds,4.14,96.13,Kost Pria
361,Ixtapa,MX,84.2,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
362,Pedernales,DO,82.8,clear sky,18.04,-71.74,Hotel Costa Marina
363,Port Moresby,PG,84.2,scattered clouds,-9.44,147.18,Lamana Hotel
366,Harper,LR,76.19,light rain,4.38,-7.72,Screensaver
371,Kirakira,SB,84.0,heavy intensity rain,-10.45,161.92,SanBiz Lodge
375,Santa Ana De Yusguare,HN,78.21,overcast clouds,13.3,-87.11,Centro de yusguare
380,Katherine,AU,80.6,clear sky,-14.47,132.27,Pine Tree Motel
382,Batticaloa,LK,78.37,few clouds,7.71,81.69,Grand Star Guest House
396,Madras,IN,82.4,mist,13.09,80.28,"Taj Connemara, Chennai"
403,Erzin,TR,79.0,clear sky,36.96,36.2,Artemis Otel
409,Alyangula,AU,80.6,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
410,Puerto Colombia,CO,84.2,scattered clouds,10.99,-74.95,Hotel El Emigrante
412,Khartoum,SD,84.2,overcast clouds,15.55,32.53,Hotel China
420,Pedasi,PA,78.64,overcast clouds,7.53,-80.03,Selina Pedasi
424,San Quintin,MX,75.02,clear sky,30.48,-115.95,Old Mill Hotel
426,Yuncheng,CN,80.6,clear sky,35.02,110.99,晋州快捷酒店
427,Mahendragarh,IN,81.82,clear sky,28.28,76.15,Pranshu Area
428,Titay,PH,81.68,overcast clouds,7.81,122.53,Lumbia Garden Resort
429,Pemberton,CA,76.93,overcast clouds,50.32,-122.8,Pemberton Valley Lodge
430,North Platte,US,80.6,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
431,Zigong,CN,81.0,overcast clouds,29.34,104.78,Shangkeyou Express Hotel In Wuxing Street
439,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
440,Kununurra,AU,82.4,clear sky,-15.77,128.73,Hotel Kununurra
442,Ariquemes,BR,79.02,moderate rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
444,Panaba,MX,84.25,scattered clouds,21.28,-88.27,Hotel Amor
445,Jardim,BR,75.7,clear sky,-21.48,-56.14,Hotel Estância
447,Pa Sang,TH,78.8,few clouds,18.53,98.94,โรงแรม จามจุรี 99
448,Mitsamiouli,KM,75.49,scattered clouds,-11.38,43.28,Foyer ADM
449,Praia Da Vitoria,PT,77.0,scattered clouds,38.73,-27.07,Hotel Branco I
452,Honolulu,US,87.8,scattered clouds,21.31,-157.86,Aston at the Executive Centre Hotel
459,Atar,MR,89.28,broken clouds,20.52,-13.05,Oumou Elghoura
462,Pozo Colorado,PY,81.07,clear sky,-23.49,-58.8,Hospedaje la Amistad
463,Honiara,SB,86.0,shower rain,-9.43,159.95,Heritage Park Hotel
466,Ca Mau,VN,85.39,few clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
469,Carlsbad,US,80.6,clear sky,33.16,-117.35,Carlsbad Inn Beach Resort
471,Ramshir,IR,84.2,clear sky,30.89,49.41,بزرگمهر بزرگ زهیریه رامشیر
479,Vanimo,PG,78.76,very heavy rain,-2.67,141.3,Vahmoneh Lodge Vanimo
485,Kudat,MY,82.4,few clouds,6.88,116.85,Dream Garden Hotel
487,Oussouye,SN,82.4,scattered clouds,12.48,-16.55,Auberge du Routard
