City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Batemans Bay,AU,-35.72,150.18,64.0,56,0,3.0,clear sky
198,Katsuura,JP,35.13,140.3,91.4,70,20,13.87,few clouds
199,Nakamura,JP,32.98,132.93,87.73,62,0,4.54,clear sky
200,Colorado Springs,US,38.83,-104.82,66.2,63,75,10.29,broken clouds
201,Blora,ID,-6.97,111.42,81.68,64,0,8.75,clear sky
202,Sri Aman,MY,1.24,111.46,77.0,94,40,3.36,scattered clouds
203,Kavieng,PG,-2.57,150.8,83.8,74,0,11.61,clear sky
204,Aklavik,CA,68.22,-135.01,57.2,41,20,9.17,few clouds
205,Barwala,IN,29.38,75.92,81.5,72,6,4.7,clear sky
206,Natchez,US,31.56,-91.4,80.6,78,1,6.93,clear sky
207,Victoria,HK,22.29,114.16,86.0,74,0,2.93,clear sky
208,Namibe,AO,-15.2,12.15,58.73,82,38,7.47,scattered clouds
209,Mizdah,LY,31.45,12.98,69.94,69,0,9.98,clear sky
210,Saldanha,ZA,-33.01,17.94,50.0,81,100,11.41,light rain
211,Olafsvik,IS,64.89,-23.71,51.35,85,100,13.8,overcast clouds
212,Husavik,IS,66.04,-17.34,48.2,87,90,2.24,overcast clouds
213,Matagami,CA,49.75,-77.63,57.2,76,90,3.56,overcast clouds
214,Naze,JP,28.37,129.48,87.8,84,20,10.29,few clouds
215,Talara,PE,-4.58,-81.27,62.42,89,17,18.07,few clouds
216,Bethel,US,41.37,-73.41,73.4,78,40,3.36,scattered clouds
217,Mahanoro,MG,-19.9,48.8,65.88,87,8,3.85,clear sky
218,Souillac,MU,-20.52,57.52,71.6,78,40,8.05,scattered clouds
219,Gazanjyk,TM,39.24,55.52,73.47,22,0,7.61,clear sky
220,Kahului,US,20.89,-156.47,91.4,38,1,25.28,clear sky
221,Luderitz,NA,-26.65,15.16,53.8,81,0,4.32,clear sky
222,Chiang Rai,TH,19.91,99.83,77.0,100,20,2.24,few clouds
223,Tura,IN,25.52,90.22,75.38,94,11,5.01,few clouds
224,Jalu,LY,29.03,21.55,77.65,61,0,7.92,clear sky
225,Fortuna,US,40.6,-124.16,64.99,82,1,12.75,clear sky
226,Lanzhou,CN,36.06,103.79,64.4,39,75,6.71,broken clouds
227,Tazovskiy,RU,67.47,78.7,53.13,83,0,2.51,clear sky
228,Shache,CN,38.42,77.24,63.55,40,0,6.04,clear sky
229,Udachnyy,RU,66.42,112.4,48.2,45,75,6.71,smoke
